input_text,label
"[CONTEXT]



[GAME STATE]
At 10:18 the Radiant are ahead in gold and the Radiant are even with the Dire in xp.

[MEDUSA'S STATUS]
Medusa has not killed any heroes yet. Medusa has been killed by Clinkz 1 time(s), Rubick 1 time(s).

[MESSAGE]
Medusa from the Dire NOW says: ""wtf is happening""",0
"[CONTEXT]

Medusa from the Dire said EARLIER: ""wtf is happening""

[GAME STATE]
At 36:47 the Radiant are ahead in gold and the Radiant are dominating in xp.

[SILENCER'S STATUS]
Silencer killed Crystal Maiden 1 time(s), Necrophos 1 time(s), Medusa 1 time(s). Silencer has been killed by Crystal Maiden 3 time(s), Disruptor 1 time(s), Necrophos 3 time(s).

[MESSAGE]
Silencer from the Radiant NOW says: ""wow""",0
"[CONTEXT]

Medusa from the Dire said EARLIER: ""wtf is happening""
Silencer from the Radiant said EARLIER: ""wow""

[GAME STATE]
At 44:24 the Radiant are slightly ahead in gold and the Radiant are dominating in xp.

[DRAGON KNIGHT'S STATUS]
Dragon Knight killed Necrophos 2 time(s), Sand King 3 time(s), Disruptor 3 time(s), Medusa 1 time(s), Crystal Maiden 1 time(s). Dragon Knight has been killed by Crystal Maiden 1 time(s), Medusa 1 time(s), Necrophos 4 time(s).

[MESSAGE]
Dragon Knight from the Radiant NOW says: ""xd""",0
"[CONTEXT]

Medusa from the Dire said EARLIER: ""wtf is happening""
Silencer from the Radiant said EARLIER: ""wow""
Dragon Knight from the Radiant said EARLIER: ""xd""

[GAME STATE]
At 44:37 the Radiant are slightly ahead in gold and the Radiant are dominating in xp.

[DRAGON KNIGHT'S STATUS]
Dragon Knight killed Necrophos 2 time(s), Sand King 3 time(s), Disruptor 3 time(s), Medusa 1 time(s), Crystal Maiden 1 time(s). Dragon Knight has been killed by Crystal Maiden 1 time(s), Medusa 1 time(s), Necrophos 4 time(s).

[MESSAGE]
Dragon Knight from the Radiant NOW says: ""good game""",0
"[CONTEXT]



[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.

[DISRUPTOR'S STATUS]
Disruptor has not killed any heroes yet. Disruptor has not has been killed by any heroes yet.

[MESSAGE]
Disruptor from the Radiant NOW says: ""we wait""",0
"[CONTEXT]

Disruptor from the Radiant said EARLIER: ""we wait""

[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.

[LIFESTEALER'S STATUS]
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.

[MESSAGE]
Lifestealer from the Dire NOW says: ""thx""",0
"[CONTEXT]

Disruptor from the Radiant said EARLIER: ""we wait""
Lifestealer from the Dire said EARLIER: ""thx""

[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.

[DISRUPTOR'S STATUS]
Disruptor has not killed any heroes yet. Disruptor has not has been killed by any heroes yet.

[MESSAGE]
Disruptor from the Radiant NOW says: ""we have patience from zhou""",0
"[CONTEXT]

Disruptor from the Radiant said EARLIER: ""we wait""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""

[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.

[LIFESTEALER'S STATUS]
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.

[MESSAGE]
Lifestealer from the Dire NOW says: ""we wont forget that""",0
"[CONTEXT]

Disruptor from the Radiant said EARLIER: ""we wait""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""we wont forget that""

[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.

[DARK WILLOW'S STATUS]
Dark Willow has not killed any heroes yet. Dark Willow has not has been killed by any heroes yet.

[MESSAGE]
Dark Willow from the Radiant NOW says: ""so how you guys doing?""",0
"[CONTEXT]

Disruptor from the Radiant said EARLIER: ""we wait""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""

[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.

[LIFESTEALER'S STATUS]
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.

[MESSAGE]
Lifestealer from the Dire NOW says: ""not good""",0
