message,context,label
"[MESSAGE TO CLASSIFY]!!!
Medusa from the Dire NOW says: ""wtf is happening""
","[GAME STATE]
At 10:18 the Radiant are ahead in gold and the Radiant are even with the Dire in xp.
Medusa has not killed any heroes yet. Medusa has been killed by Clinkz 1 time(s), Rubick 1 time(s).
[CONTEXT]

",0
"[MESSAGE TO CLASSIFY]!!!
Silencer from the Radiant NOW says: ""wow""
","[GAME STATE]
At 36:47 the Radiant are ahead in gold and the Radiant are dominating in xp.
Silencer killed Crystal Maiden 1 time(s), Necrophos 1 time(s), Medusa 1 time(s). Silencer has been killed by Crystal Maiden 3 time(s), Disruptor 1 time(s), Necrophos 3 time(s).
[CONTEXT]
Medusa from the Dire said EARLIER: ""wtf is happening""
",0
"[MESSAGE TO CLASSIFY]!!!
Dragon Knight from the Radiant NOW says: ""xd""
","[GAME STATE]
At 44:24 the Radiant are slightly ahead in gold and the Radiant are dominating in xp.
Dragon Knight killed Necrophos 2 time(s), Sand King 3 time(s), Disruptor 3 time(s), Medusa 1 time(s), Crystal Maiden 1 time(s). Dragon Knight has been killed by Crystal Maiden 1 time(s), Medusa 1 time(s), Necrophos 4 time(s).
[CONTEXT]
Silencer from the Radiant said EARLIER: ""wow""
Medusa from the Dire said EARLIER: ""wtf is happening""
",0
"[MESSAGE TO CLASSIFY]!!!
Dragon Knight from the Radiant NOW says: ""good game""
","[GAME STATE]
At 44:37 the Radiant are slightly ahead in gold and the Radiant are dominating in xp.
Dragon Knight killed Necrophos 2 time(s), Sand King 3 time(s), Disruptor 3 time(s), Medusa 1 time(s), Crystal Maiden 1 time(s). Dragon Knight has been killed by Crystal Maiden 1 time(s), Medusa 1 time(s), Necrophos 4 time(s).
[CONTEXT]
Dragon Knight from the Radiant said EARLIER: ""xd""
Silencer from the Radiant said EARLIER: ""wow""
Medusa from the Dire said EARLIER: ""wtf is happening""
",0
"[MESSAGE TO CLASSIFY]!!!
Disruptor from the Radiant NOW says: ""we wait""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Disruptor has not killed any heroes yet. Disruptor has not has been killed by any heroes yet.
[CONTEXT]

",0
"[MESSAGE TO CLASSIFY]!!!
Lifestealer from the Dire NOW says: ""thx""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.
[CONTEXT]
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Disruptor from the Radiant NOW says: ""we have patience from zhou""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Disruptor has not killed any heroes yet. Disruptor has not has been killed by any heroes yet.
[CONTEXT]
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Lifestealer from the Dire NOW says: ""we wont forget that""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.
[CONTEXT]
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Dark Willow from the Radiant NOW says: ""so how you guys doing?""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Dark Willow has not killed any heroes yet. Dark Willow has not has been killed by any heroes yet.
[CONTEXT]
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Lifestealer from the Dire NOW says: ""not good""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.
[CONTEXT]
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Lifestealer from the Dire NOW says: ""we were fucked at bc""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.
[CONTEXT]
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Disruptor from the Radiant NOW says: ""us too""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Disruptor has not killed any heroes yet. Disruptor has not has been killed by any heroes yet.
[CONTEXT]
Lifestealer from the Dire said EARLIER: ""we were fucked at bc""
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Morphling from the Radiant NOW says: ""WE GOT""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Morphling has not killed any heroes yet. Morphling has not has been killed by any heroes yet.
[CONTEXT]
Disruptor from the Radiant said EARLIER: ""us too""
Lifestealer from the Dire said EARLIER: ""we were fucked at bc""
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Lifestealer from the Dire NOW says: ""i took 20 mins for us""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.
[CONTEXT]
Morphling from the Radiant said EARLIER: ""WE GOT""
Disruptor from the Radiant said EARLIER: ""us too""
Lifestealer from the Dire said EARLIER: ""we were fucked at bc""
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Morphling from the Radiant NOW says: ""top 1000""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Morphling has not killed any heroes yet. Morphling has not has been killed by any heroes yet.
[CONTEXT]
Lifestealer from the Dire said EARLIER: ""i took 20 mins for us""
Morphling from the Radiant said EARLIER: ""WE GOT""
Disruptor from the Radiant said EARLIER: ""us too""
Lifestealer from the Dire said EARLIER: ""we were fucked at bc""
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Disruptor from the Radiant NOW says: ""faced 300 ranked guys""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Disruptor has not killed any heroes yet. Disruptor has not has been killed by any heroes yet.
[CONTEXT]
Morphling from the Radiant said EARLIER: ""top 1000""
Lifestealer from the Dire said EARLIER: ""i took 20 mins for us""
Morphling from the Radiant said EARLIER: ""WE GOT""
Disruptor from the Radiant said EARLIER: ""us too""
Lifestealer from the Dire said EARLIER: ""we were fucked at bc""
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Lifestealer from the Dire NOW says: "")""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.
[CONTEXT]
Disruptor from the Radiant said EARLIER: ""faced 300 ranked guys""
Morphling from the Radiant said EARLIER: ""top 1000""
Lifestealer from the Dire said EARLIER: ""i took 20 mins for us""
Morphling from the Radiant said EARLIER: ""WE GOT""
Disruptor from the Radiant said EARLIER: ""us too""
Lifestealer from the Dire said EARLIER: ""we were fucked at bc""
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Dark Willow from the Radiant NOW says: ""we met a team with twice the mmr""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Dark Willow has not killed any heroes yet. Dark Willow has not has been killed by any heroes yet.
[CONTEXT]
Lifestealer from the Dire said EARLIER: "")""
Disruptor from the Radiant said EARLIER: ""faced 300 ranked guys""
Morphling from the Radiant said EARLIER: ""top 1000""
Lifestealer from the Dire said EARLIER: ""i took 20 mins for us""
Morphling from the Radiant said EARLIER: ""WE GOT""
Disruptor from the Radiant said EARLIER: ""us too""
Lifestealer from the Dire said EARLIER: ""we were fucked at bc""
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
"[MESSAGE TO CLASSIFY]!!!
Lifestealer from the Dire NOW says: ""same thing""
","[GAME STATE]
At 3:03 the Radiant are even with the Dire in gold and the Radiant are even with the Dire in xp.
Lifestealer has not killed any heroes yet. Lifestealer has not has been killed by any heroes yet.
[CONTEXT]
Dark Willow from the Radiant said EARLIER: ""we met a team with twice the mmr""
Lifestealer from the Dire said EARLIER: "")""
Disruptor from the Radiant said EARLIER: ""faced 300 ranked guys""
Morphling from the Radiant said EARLIER: ""top 1000""
Lifestealer from the Dire said EARLIER: ""i took 20 mins for us""
Morphling from the Radiant said EARLIER: ""WE GOT""
Disruptor from the Radiant said EARLIER: ""us too""
Lifestealer from the Dire said EARLIER: ""we were fucked at bc""
Lifestealer from the Dire said EARLIER: ""not good""
Dark Willow from the Radiant said EARLIER: ""so how you guys doing?""
Lifestealer from the Dire said EARLIER: ""we wont forget that""
Disruptor from the Radiant said EARLIER: ""we have patience from zhou""
Lifestealer from the Dire said EARLIER: ""thx""
Disruptor from the Radiant said EARLIER: ""we wait""
",0
